year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,break_begin,break_end,total_break,break,world_reigns,ic_reigns,us_reigns
1993,8,3,Max Moon,01:39:55,01:41:53,,Jerry Lawler,0,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1993,9,10,Genichiro Tenryu,01:42:03,01:55:20,,The Undertaker,0,0,0,neutral,,0,0,0,,,,0,,,,,,,,,,,,,
1993,10,8,Mr. Perfect,01:44:04,01:53:19,,"Jerry Lawler, Koko B. Ware, Ted DiBiase",3,0,0,face,,0,0,1,,,,0,,,,,,,,,,,,,
1993,11,5,Skinner,01:46:06,01:49:10,,Mr. Perfect,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1993,12,12,Koko B. Ware,01:48:06,01:56:38,,Ted DiBiase,0,1,0,face,,1,Owen Hart,0,,,,0,,,,,,,,,,,,,
1993,13,9,Samu,01:50:08,01:54:58,,The Undertaker,0,0,0,heel,,1,Fatu,0,,,,0,,,,,,,,,,,,,
1993,14,14,The Berzerker,01:52:12,01:57:32,,The Undertaker,1,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1993,15,15,The Undertaker,01:54:27,01:58:41,,Giant Gonzalez,4,0,0,face,,0,0,1,,,,1,,,,,,,,,,,,,
1993,16,11,Terry Taylor,01:56:13,01:56:38,,Ted DiBiase,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1993,17,17,Damien Demento,01:58:25,02:13:50,,Carlos Colon,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1993,18,19,Irwin R. Schyster,02:00:40,02:17:25,,Earthquake,0,0,0,heel,,1,Ted DiBiase,0,,,,0,,,,,,,01:58:25,02:01:20 ,,,,,
1993,19,20,Tatanka,02:02:22,02:19:15,,Yokozuna,0,0,0,face,,0,0,0,,,,0,,,,,,,02:00:40,02:01:20,,,,,
1993,20,24,Jerry Sags,02:04:25,02:26:16,,Owen Hart,0,0,0,face,,1,Brian Knobbs,0,,,,0,,,,,,,,,,,,,
1993,21,16,Typhoon,02:06:29,02:11:42,,Earthquake,0,0,0,heel,,1,Earthquake,0,,,,0,,,,,,,,,,,,,
1993,22,18,Fatu,02:08:39,02:15:10,,Bob Backlund,0,0,0,heel,,1,Samu,0,,,,0,,,,,,,,,,,,,
1993,23,22,Earthquake,02:10:44,02:21:45,,Yokozuna,2,0,0,heel,,1,Typhoon,0,,,,0,,,,,,,,,,,,,
1993,24,21,Carlos Colon,02:12:52,02:20:17,,Yokozuna,1,0,0,face,,,0,0,,,,0,,,,,,,,,,,,,
1993,25,23,Tito Santana,02:14:55,02:25:58,,Yokozuna,0,0,0,face,,,0,0,,,,0,,,,,,,,,,,,,
1993,26,27,Rick Martel,02:16:59,02:28:21,,Bob Backlund,0,0,0,heel,,,0,0,,,,0,,,,,,,,,,,,,
1993,27,30,Yokozuna,02:19:35,02:34:28,,Winner,7,0,0,heel,,,0,0,,,,0,,,,,,,,,,,,,
1993,28,25,Owen Hart,02:21:07,02:26:45,,Yokozuna,1,0,0,face,,1,Koko B. Ware,0,,,,0,,,,,,,,,,,,,
1993,29,26,Repo Man,02:23:20,02:26:51,,Randy Savage,0,0,0,heel,,,0,0,,,,0,,,,,,,,,,,,,
1993,30,29,Randy Savage,02:25:26,02:34:28,,Yokozuna,1,0,0,face,,,0,0,,,,1,,,,,,,,,,,,,
1994,1,4,Scott Steiner,01:37:56,01:46:59,,Diesel,1,0,0,face,,1,Rick Steiner,0,,,,0,,,,,,,,,,,,,
1994,2,1,Samu,01:37:56,01:41:12,,Scott Steiner,0,0,0,heel,,1,Fatu,0,,,,0,,,,,,,,,,,,,
1994,3,2,Rick Steiner,01:39:49,01:43:46,,Owen Hart,0,0,0,face,,1,Scott Steiner,0,,,,0,,,,,,,,,,,,,
1994,4,6,Kwang,01:41:23,01:47:20,,Diesel,0,0,0,heel,,0,0,,,,,0,,,,,,,,,,,,,
1994,5,5,Owen Hart,01:42:56,01:47:06,,Diesel,1,0,0,heel,,0,0,,,,,0,,,,,,,,,,,,,
1994,6,3,Bart Gunn,01:44:23,01:46:53,,Diesel,0,0,0,face,,1,Billy Gunn,,,,,0,,,,,,,,,,,,,
1994,7,13,Diesel,01:46:13,02:03:56,,"Bam Bam Bigelow, Crush, Mabel, Thurman""Sparky"" Plugg, Shawn Michaels",7,0,0,heel,,1,Shawn Michaels,,,,,0,,,,,,,,,,,,,
1994,8,7,Bob Backlund,01:47:35,01:48:16,,Diesel,0,0,0,face,,0,0,,,,,1,,,,,,,,,,,,,
