,year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,Unnamed: 20,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,euro_champ,total_elim
112,1992,3,30,Ric Flair,151,3721,3570,Winner,3,2,0,heel,,0.0,0,0.0,,5.0,5.0,1,,3570.0,3570.0,0.0,0.0,,,5
113,1992,4,2,Jerry Sags,258,327,69,The British Bulldog,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,69.0,69.0,0.0,0.0,,,0
114,1992,5,3,Haku,368,478,110,The British Bulldog,0,0,0,heel,,0.0,0,0.0,,2.0,0.0,0,,2268.0,756.0,2.0,0.0,,,0
115,1992,6,10,Shawn Michaels,500,1447,947,Tito Santana,1,0,0,heel,,0.0,0,0.0,,2.0,0.0,0,,1830.0,610.0,2.0,0.0,,,1
116,1992,7,9,Tito Santana,612,1447,835,Shawn Michaels,1,0,0,face,,0.0,0,0.0,,1.0,0.0,0,,4375.0,875.0,4.0,0.0,,,1
117,1992,8,11,The Barbarian,738,1514,776,Hercules,0,0,0,heel,,1.0,The Warlord,0.0,,3.0,1.0,0,,1869.0,623.0,2.0,,,,0
118,1992,9,8,The Texas Tornado,867,1427,560,Ric Flair,0,0,0,face,,0.0,0,0.0,,0.0,0.0,1,,2021.0,1010.0,1.0,,,,0
119,1992,10,6,Repo Man,993,1378,385,Big Boss Man,2,0,0,heel,,0.0,0,0.0,,2.0,2.0,0,,385.0,385.0,0.0,,,,2
120,1992,11,5,Greg Valentine,1096,1349,253,Repo Man,0,0,0,face,,0.0,0,0.0,,1.0,0.0,0,,4099.0,1366.0,2.0,,,,0
121,1992,12,4,Nikolai Volkoff,1223,1286,63,Repo Man,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,63.0,63.0,0.0,,,,0
122,1992,13,13,Big Boss Man,1335,1553,218,Ric Flair,2,0,0,face,,0.0,0,0.0,,3.0,1.0,0,,476.0,238.0,1.0,,,,2
123,1992,14,12,Hercules,1461,1517,56,Big Boss Man,1,0,0,heel,,0.0,0,0.0,,3.0,0.0,0,,2934.0,733.0,3.0,,,,1
124,1992,15,26,Roddy Piper,1591,3638,2047,Sid Justice,1,0,0,face,,0.0,0,0.0,,2.0,1.0,0,,2788.0,1394.0,1.0,,,,1
125,1992,16,15,Jake Roberts,1714,2370,656,Randy Savage,0,0,0,heel,,0.0,0,0.0,,3.0,0.0,0,,3487.0,697.0,4.0,,,,0
126,1992,17,19,Hacksaw Jim Duggan,1841,3088,1247,Virgil,1,0,0,face,,0.0,0,0.0,,4.0,1.0,0,,2415.0,805.0,2.0,,,,1
127,1992,18,23,Irwin R. Schyster,1967,3590,1623,Roddy Piper,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,1623.0,1623.0,0.0,,,,0
128,1992,19,14,Jimmy Snuka,2085,2232,147,The Undertaker,0,0,0,face,,0.0,0,0.0,,2.0,0.0,0,,1597.0,532.0,2.0,,,,0
129,1992,20,17,The Undertaker,2227,3058,831,Hulk Hogan,1,0,0,heel,,0.0,0,0.0,,4.0,2.0,1,,1691.0,845.0,1.0,,,,1
130,1992,21,27,Randy Savage,2315,3661,1346,"Ric Flair, Sid Justice",2,0,0,face,,0.0,0,0.0,,6.0,1.0,1,,2703.0,675.0,3.0,,,,2
131,1992,22,18,The Berzerker,2526,3066,540,Hulk Hogan,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,540.0,540.0,0.0,,,,0
132,1992,23,20,Virgil,2638,3088,450,Jim Duggan,1,0,0,face,,0.0,0,0.0,,1.0,1.0,0,,450.0,450.0,0.0,,,,1
133,1992,24,16,Col. Mustafa,2773,2928,155,Randy Savage,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,155.0,155.0,0.0,,,,0
134,1992,25,25,Rick Martel,2879,3638,759,Sid Justice,1,0,0,heel,,0.0,0,0.0,,8.0,2.0,0,,4830.0,1207.0,3.0,,,,1
135,1992,26,28,Hulk Hogan,3002,3691,689,Sid Justice,2,1,1,face,,0.0,0,0.0,,27.0,6.0,1,,3409.0,852.0,3.0,,,,4
136,1992,27,21,Skinner,3124,3257,133,Rick Martel,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,133.0,133.0,0.0,,,,0
137,1992,28,22,Sgt. Slaughter,3256,3535,279,Sid Justice,0,0,0,face,,0.0,0,0.0,,0.0,0.0,1,,279.0,279.0,0.0,,,,0
138,1992,29,29,Sid Justice,3367,3721,354,"Hulk Hogan, Ric Flair",4,2,0,face,,0.0,0,1.0,,6.0,6.0,0,,354.0,354.0,0.0,,,,6
139,1992,30,24,The Warlord,3511,3613,102,"Hulk Hogan, Sid Justice",0,0,0,heel,,1.0,The Barbarian,0.0,,0.0,0.0,0,,696.0,174.0,3.0,,,,0
140,1993,1,4,Ric Flair,0,1121,1121,Mr. Perfect,1,0,0,heel,,0.0,0,0.0,,6.0,3.0,1,,4691.0,2345.0,1.0,,,,1
141,1993,2,28,Bob Backlund,0,3675,3675,Yokozuna,2,0,0,face,,0.0,0,0.0,,2.0,2.0,1,,3675.0,3675.0,0.0,,,,2
142,1993,3,1,Papa Shango,129,157,28,Ric Flair,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,28.0,28.0,0.0,,,,0
143,1993,4,13,Ted DiBiase,252,1748,1496,The Undertaker,3,1,0,heel,,1.0,Irwin R. Schyster,0.0,,10.0,2.0,0,,4769.0,1192.0,3.0,,,,4
144,1993,5,2,Brian Knobbs,363,542,179,Ted DiBiase,0,0,0,face,,1.0,Jerry Sags,0.0,,3.0,1.0,0,,787.0,393.0,1.0,,,,0
145,1993,6,7,Virgil,486,1516,1030,The Berzerker,0,0,0,face,,0.0,0,0.0,,1.0,0.0,0,,1480.0,740.0,1.0,,,,0
146,1993,7,6,Jerry Lawler,620,1496,876,Mr. Perfect,1,0,1,heel,,0.0,0,0.0,,2.0,2.0,0,,876.0,876.0,0.0,,,,2
